=> Trial Start: ['dir_sim', 'recency', 'betweenness']
=> Epoch 089 | Train: 0.7313 (Easy: 0.4384, Hard: 1.0170) | Val: 0.6537 (Easy: 0.3805, Hard: 0.9938) | LR: 0.001000
=> Epoch 090 | Train: 0.7422 (Easy: 0.4397, Hard: 1.0383) | Val: 0.6524 (Easy: 0.3781, Hard: 0.9947) | LR: 0.001000
=> Epoch 091 | Train: 0.7435 (Easy: 0.4369, Hard: 1.0593) | Val: 0.6530 (Easy: 0.3915, Hard: 0.9748) | LR: 0.001000
=> Epoch 092 | Train: 0.7501 (Easy: 0.4432, Hard: 1.0456) | Val: 0.6503 (Easy: 0.3844, Hard: 0.9827) | LR: 0.001000
=> Epoch 093 | Train: 0.7393 (Easy: 0.4473, Hard: 1.0256) | Val: 0.6540 (Easy: 0.3711, Hard: 1.0045) | LR: 0.001000
=> Epoch 094 | Train: 0.7363 (Easy: 0.4377, Hard: 1.0263) | Val: 0.6520 (Easy: 0.3753, Hard: 0.9953) | LR: 0.001000
=> Epoch 095 | Train: 0.7384 (Easy: 0.4375, Hard: 1.0368) | Val: 0.6612 (Easy: 0.3823, Hard: 1.0119) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 096 | Train: 0.7464 (Easy: 0.4409, Hard: 1.0533) | Val: 0.6601 (Easy: 0.3704, Hard: 1.0190) | LR: 0.000500
=> Epoch 097 | Train: 0.7347 (Easy: 0.4303, Hard: 1.0375) | Val: 0.6532 (Easy: 0.3699, Hard: 1.0065) | LR: 0.000500
=> Epoch 098 | Train: 0.7240 (Easy: 0.4311, Hard: 1.0034) | Val: 0.6451 (Easy: 0.3723, Hard: 0.9822) | LR: 0.000500
=> Epoch 099 | Train: 0.7259 (Easy: 0.4329, Hard: 1.0112) | Val: 0.6498 (Easy: 0.3693, Hard: 0.9980) | LR: 0.000500
=> Epoch 100 | Train: 0.7379 (Easy: 0.4473, Hard: 1.0227) | Val: 0.6473 (Easy: 0.3697, Hard: 0.9919) | LR: 0.000500
=> Epoch 101 | Train: 0.7330 (Easy: 0.4309, Hard: 1.0290) | Val: 0.6459 (Easy: 0.3650, Hard: 0.9949) | LR: 0.000500
=> Epoch 102 | Train: 0.7409 (Easy: 0.4354, Hard: 1.0421) | Val: 0.6450 (Easy: 0.3629, Hard: 0.9960) | LR: 0.000500
=> Epoch 103 | Train: 0.7192 (Easy: 0.4408, Hard: 0.9909) | Val: 0.6491 (Easy: 0.3615, Hard: 1.0015) | LR: 0.000500
=> Epoch 104 | Train: 0.7244 (Easy: 0.4354, Hard: 1.0136) | Val: 0.6474 (Easy: 0.3624, Hard: 1.0001) | LR: 0.000500
=> Epoch 105 | Train: 0.7305 (Easy: 0.4297, Hard: 1.0234) | Val: 0.6487 (Easy: 0.3686, Hard: 0.9933) | LR: 0.000500
=> Epoch 106 | Train: 0.7159 (Easy: 0.4213, Hard: 1.0053) | Val: 0.6458 (Easy: 0.3669, Hard: 0.9892) | LR: 0.000500
=> Epoch 107 | Train: 0.7111 (Easy: 0.4295, Hard: 0.9942) | Val: 0.6467 (Easy: 0.3628, Hard: 0.9964) | LR: 0.000500
