=> Trial Start: ['dir_sim', 'recency', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_hallway']
=> Epoch 018 | Train: 0.9180 (Easy: 0.5017, Hard: 1.3518) | Val: 0.7878 (Easy: 0.4490, Hard: 1.2291) | LR: 0.001000
=> Epoch 019 | Train: 0.9101 (Easy: 0.4954, Hard: 1.3444) | Val: 0.7822 (Easy: 0.4535, Hard: 1.2081) | LR: 0.001000
=> Epoch 020 | Train: 0.9037 (Easy: 0.4891, Hard: 1.3393) | Val: 0.7767 (Easy: 0.4543, Hard: 1.1945) | LR: 0.001000
=> Epoch 021 | Train: 0.8908 (Easy: 0.4865, Hard: 1.3105) | Val: 0.7686 (Easy: 0.4595, Hard: 1.1694) | LR: 0.001000
=> Epoch 022 | Train: 0.9066 (Easy: 0.4985, Hard: 1.3258) | Val: 0.7619 (Easy: 0.4545, Hard: 1.1601) | LR: 0.001000
=> Epoch 023 | Train: 0.8945 (Easy: 0.4920, Hard: 1.3069) | Val: 0.7551 (Easy: 0.4489, Hard: 1.1505) | LR: 0.001000
=> Epoch 024 | Train: 0.8740 (Easy: 0.4853, Hard: 1.2651) | Val: 0.7486 (Easy: 0.4437, Hard: 1.1408) | LR: 0.001000
=> Epoch 025 | Train: 0.8758 (Easy: 0.4818, Hard: 1.2769) | Val: 0.7442 (Easy: 0.4521, Hard: 1.1209) | LR: 0.001000
=> Epoch 026 | Train: 0.8734 (Easy: 0.4816, Hard: 1.2698) | Val: 0.7345 (Easy: 0.4411, Hard: 1.1108) | LR: 0.001000
=> Epoch 027 | Train: 0.8655 (Easy: 0.4746, Hard: 1.2623) | Val: 0.7376 (Easy: 0.4557, Hard: 1.1012) | LR: 0.001000
=> Epoch 028 | Train: 0.8575 (Easy: 0.4757, Hard: 1.2401) | Val: 0.7314 (Easy: 0.4411, Hard: 1.1014) | LR: 0.001000
=> Epoch 029 | Train: 0.8433 (Easy: 0.4711, Hard: 1.2219) | Val: 0.7257 (Easy: 0.4327, Hard: 1.1039) | LR: 0.001000
=> Epoch 030 | Train: 0.8637 (Easy: 0.4804, Hard: 1.2555) | Val: 0.7184 (Easy: 0.4242, Hard: 1.0952) | LR: 0.001000
=> Epoch 031 | Train: 0.8523 (Easy: 0.4658, Hard: 1.2399) | Val: 0.7190 (Easy: 0.4240, Hard: 1.0981) | LR: 0.001000
