=> Trial Start: ['dir_sim', 'recency', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'room_area']
=> Epoch 001 | Train: 1.0651 (Easy: 0.5828, Hard: 1.5451) | Val: 0.8592 (Easy: 0.5252, Hard: 1.2814) | LR: 0.001000
=> Epoch 002 | Train: 1.0156 (Easy: 0.5593, Hard: 1.4611) | Val: 0.8359 (Easy: 0.4992, Hard: 1.2629) | LR: 0.001000
=> Epoch 003 | Train: 0.9986 (Easy: 0.5464, Hard: 1.4465) | Val: 0.8226 (Easy: 0.4911, Hard: 1.2444) | LR: 0.001000
=> Epoch 004 | Train: 0.9931 (Easy: 0.5445, Hard: 1.4433) | Val: 0.8117 (Easy: 0.4862, Hard: 1.2265) | LR: 0.001000
=> Epoch 005 | Train: 0.9755 (Easy: 0.5320, Hard: 1.4241) | Val: 0.8079 (Easy: 0.4976, Hard: 1.2073) | LR: 0.001000
=> Epoch 006 | Train: 0.9646 (Easy: 0.5142, Hard: 1.4192) | Val: 0.7939 (Easy: 0.4782, Hard: 1.1982) | LR: 0.001000
=> Epoch 007 | Train: 0.9433 (Easy: 0.5037, Hard: 1.3865) | Val: 0.7853 (Easy: 0.4720, Hard: 1.1868) | LR: 0.001000
=> Epoch 008 | Train: 0.9293 (Easy: 0.5003, Hard: 1.3627) | Val: 0.7701 (Easy: 0.4521, Hard: 1.1768) | LR: 0.001000
=> Epoch 009 | Train: 0.9193 (Easy: 0.4893, Hard: 1.3465) | Val: 0.7607 (Easy: 0.4513, Hard: 1.1536) | LR: 0.001000
=> Epoch 010 | Train: 0.9120 (Easy: 0.4733, Hard: 1.3572) | Val: 0.7586 (Easy: 0.4503, Hard: 1.1490) | LR: 0.001000
=> Epoch 011 | Train: 0.9033 (Easy: 0.4854, Hard: 1.3285) | Val: 0.7476 (Easy: 0.4343, Hard: 1.1459) | LR: 0.001000
=> Epoch 012 | Train: 0.8945 (Easy: 0.4768, Hard: 1.3179) | Val: 0.7506 (Easy: 0.4464, Hard: 1.1387) | LR: 0.001000
=> Epoch 013 | Train: 0.8840 (Easy: 0.4776, Hard: 1.2863) | Val: 0.7405 (Easy: 0.4335, Hard: 1.1320) | LR: 0.001000
=> Epoch 014 | Train: 0.8872 (Easy: 0.4806, Hard: 1.2958) | Val: 0.7359 (Easy: 0.4266, Hard: 1.1299) | LR: 0.001000
=> Epoch 015 | Train: 0.8867 (Easy: 0.4811, Hard: 1.2866) | Val: 0.7270 (Easy: 0.4180, Hard: 1.1149) | LR: 0.001000
=> Epoch 016 | Train: 0.8752 (Easy: 0.4752, Hard: 1.2797) | Val: 0.7264 (Easy: 0.4217, Hard: 1.1106) | LR: 0.001000
=> Epoch 017 | Train: 0.8743 (Easy: 0.4651, Hard: 1.2806) | Val: 0.7203 (Easy: 0.4108, Hard: 1.1110) | LR: 0.001000
=> Epoch 018 | Train: 0.8562 (Easy: 0.4651, Hard: 1.2508) | Val: 0.7208 (Easy: 0.4138, Hard: 1.1056) | LR: 0.001000
=> Epoch 019 | Train: 0.8651 (Easy: 0.4695, Hard: 1.2654) | Val: 0.7209 (Easy: 0.4148, Hard: 1.1084) | LR: 0.001000
=> Epoch 020 | Train: 0.8610 (Easy: 0.4689, Hard: 1.2568) | Val: 0.7170 (Easy: 0.4142, Hard: 1.0948) | LR: 0.001000
=> Epoch 021 | Train: 0.8551 (Easy: 0.4708, Hard: 1.2389) | Val: 0.7073 (Easy: 0.4079, Hard: 1.0802) | LR: 0.001000
=> Epoch 022 | Train: 0.8506 (Easy: 0.4601, Hard: 1.2444) | Val: 0.7104 (Easy: 0.4160, Hard: 1.0817) | LR: 0.001000
=> Epoch 023 | Train: 0.8457 (Easy: 0.4580, Hard: 1.2325) | Val: 0.7089 (Easy: 0.4096, Hard: 1.0821) | LR: 0.001000
=> Epoch 024 | Train: 0.8395 (Easy: 0.4529, Hard: 1.2185) | Val: 0.7063 (Easy: 0.4088, Hard: 1.0737) | LR: 0.001000
=> Epoch 025 | Train: 0.8486 (Easy: 0.4597, Hard: 1.2468) | Val: 0.7034 (Easy: 0.4055, Hard: 1.0765) | LR: 0.001000
