=> Trial Start: ['dir_sim', 'recency', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_stair']
=> Epoch 138 | Train: 0.7332 (Easy: 0.4284, Hard: 1.0327) | Val: 0.6750 (Easy: 0.4128, Hard: 0.9679) | LR: 0.000500
=> Epoch 139 | Train: 0.7506 (Easy: 0.4498, Hard: 1.0552) | Val: 0.6736 (Easy: 0.4179, Hard: 0.9595) | LR: 0.000500
=> Epoch 140 | Train: 0.7571 (Easy: 0.4467, Hard: 1.0655) | Val: 0.6803 (Easy: 0.4151, Hard: 0.9750) | LR: 0.000500
=> Epoch 141 | Train: 0.7465 (Easy: 0.4425, Hard: 1.0459) | Val: 0.6808 (Easy: 0.4159, Hard: 0.9768) | LR: 0.000500
=> Epoch 142 | Train: 0.7369 (Easy: 0.4290, Hard: 1.0368) | Val: 0.6815 (Easy: 0.4223, Hard: 0.9695) | LR: 0.000500
=> Epoch 143 | Train: 0.7402 (Easy: 0.4433, Hard: 1.0397) | Val: 0.6825 (Easy: 0.4176, Hard: 0.9759) | LR: 0.000500
=> Epoch 144 | Train: 0.7460 (Easy: 0.4278, Hard: 1.0648) | Val: 0.6827 (Easy: 0.4205, Hard: 0.9730) | LR: 0.000500
=> Epoch 145 | Train: 0.7369 (Easy: 0.4365, Hard: 1.0379) | Val: 0.6790 (Easy: 0.4167, Hard: 0.9704) | LR: 0.000500
=> Epoch 146 | Train: 0.7548 (Easy: 0.4453, Hard: 1.0618) | Val: 0.6776 (Easy: 0.4119, Hard: 0.9723) | LR: 0.000500
=> Epoch 147 | Train: 0.7516 (Easy: 0.4422, Hard: 1.0555) | Val: 0.6745 (Easy: 0.4077, Hard: 0.9733) | LR: 0.000500
=> Epoch 148 | Train: 0.7398 (Easy: 0.4371, Hard: 1.0413) | Val: 0.6881 (Easy: 0.4302, Hard: 0.9761) | LR: 0.000500
=> Epoch 149 | Train: 0.7373 (Easy: 0.4432, Hard: 1.0316) | Val: 0.6758 (Easy: 0.4114, Hard: 0.9708) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 150 | Train: 0.7449 (Easy: 0.4385, Hard: 1.0517) | Val: 0.6715 (Easy: 0.4185, Hard: 0.9552) | LR: 0.000250
=> Epoch 151 | Train: 0.7377 (Easy: 0.4352, Hard: 1.0397) | Val: 0.6711 (Easy: 0.4176, Hard: 0.9553) | LR: 0.000250
=> Epoch 152 | Train: 0.7482 (Easy: 0.4405, Hard: 1.0550) | Val: 0.6691 (Easy: 0.4173, Hard: 0.9504) | LR: 0.000250
=> Epoch 153 | Train: 0.7358 (Easy: 0.4311, Hard: 1.0432) | Val: 0.6719 (Easy: 0.4143, Hard: 0.9588) | LR: 0.000250
=> Epoch 154 | Train: 0.7416 (Easy: 0.4422, Hard: 1.0427) | Val: 0.6742 (Easy: 0.4166, Hard: 0.9599) | LR: 0.000250
=> Epoch 155 | Train: 0.7420 (Easy: 0.4341, Hard: 1.0461) | Val: 0.6712 (Easy: 0.4196, Hard: 0.9525) | LR: 0.000250
=> Epoch 156 | Train: 0.7486 (Easy: 0.4449, Hard: 1.0507) | Val: 0.6682 (Easy: 0.4228, Hard: 0.9429) | LR: 0.000250
=> Epoch 157 | Train: 0.7404 (Easy: 0.4336, Hard: 1.0478) | Val: 0.6672 (Easy: 0.4172, Hard: 0.9457) | LR: 0.000250
=> Epoch 158 | Train: 0.7394 (Easy: 0.4352, Hard: 1.0384) | Val: 0.6702 (Easy: 0.4184, Hard: 0.9496) | LR: 0.000250
=> Epoch 159 | Train: 0.7368 (Easy: 0.4291, Hard: 1.0463) | Val: 0.6668 (Easy: 0.4191, Hard: 0.9452) | LR: 0.000250
=> Epoch 160 | Train: 0.7322 (Easy: 0.4318, Hard: 1.0263) | Val: 0.6684 (Easy: 0.4192, Hard: 0.9474) | LR: 0.000250
=> Epoch 161 | Train: 0.7327 (Easy: 0.4338, Hard: 1.0218) | Val: 0.6680 (Easy: 0.4200, Hard: 0.9436) | LR: 0.000250
=> Epoch 162 | Train: 0.7422 (Easy: 0.4383, Hard: 1.0438) | Val: 0.6636 (Easy: 0.4126, Hard: 0.9430) | LR: 0.000250
=> Epoch 163 | Train: 0.7253 (Easy: 0.4328, Hard: 1.0170) | Val: 0.6672 (Easy: 0.4194, Hard: 0.9461) | LR: 0.000250
=> Epoch 164 | Train: 0.7397 (Easy: 0.4225, Hard: 1.0508) | Val: 0.6670 (Easy: 0.4148, Hard: 0.9494) | LR: 0.000250
=> Epoch 165 | Train: 0.7283 (Easy: 0.4286, Hard: 1.0242) | Val: 0.6690 (Easy: 0.4163, Hard: 0.9520) | LR: 0.000250
=> Epoch 166 | Train: 0.7351 (Easy: 0.4409, Hard: 1.0289) | Val: 0.6630 (Easy: 0.4163, Hard: 0.9392) | LR: 0.000250
