=> Trial Start: ['dir_sim', 'recency', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'last_node']
=> Epoch 126 | Train: 0.7936 (Easy: 0.4817, Hard: 1.0964) | Val: 0.7004 (Easy: 0.4309, Hard: 0.9939) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 127 | Train: 0.7787 (Easy: 0.4671, Hard: 1.0814) | Val: 0.6937 (Easy: 0.4281, Hard: 0.9825) | LR: 0.000500
=> Epoch 128 | Train: 0.7895 (Easy: 0.4794, Hard: 1.0925) | Val: 0.6948 (Easy: 0.4332, Hard: 0.9795) | LR: 0.000500
=> Epoch 129 | Train: 0.7789 (Easy: 0.4713, Hard: 1.0828) | Val: 0.6978 (Easy: 0.4267, Hard: 0.9940) | LR: 0.000500
=> Epoch 130 | Train: 0.7694 (Easy: 0.4636, Hard: 1.0610) | Val: 0.6964 (Easy: 0.4332, Hard: 0.9817) | LR: 0.000500
=> Epoch 131 | Train: 0.7752 (Easy: 0.4732, Hard: 1.0699) | Val: 0.6949 (Easy: 0.4311, Hard: 0.9842) | LR: 0.000500
=> Epoch 132 | Train: 0.7705 (Easy: 0.4665, Hard: 1.0604) | Val: 0.6920 (Easy: 0.4297, Hard: 0.9795) | LR: 0.000500
=> Epoch 133 | Train: 0.7668 (Easy: 0.4699, Hard: 1.0504) | Val: 0.6912 (Easy: 0.4254, Hard: 0.9805) | LR: 0.000500
=> Epoch 134 | Train: 0.7818 (Easy: 0.4719, Hard: 1.0850) | Val: 0.6917 (Easy: 0.4324, Hard: 0.9752) | LR: 0.000500
=> Epoch 135 | Train: 0.7718 (Easy: 0.4643, Hard: 1.0741) | Val: 0.6959 (Easy: 0.4315, Hard: 0.9849) | LR: 0.000500
=> Epoch 136 | Train: 0.7819 (Easy: 0.4697, Hard: 1.0848) | Val: 0.6891 (Easy: 0.4339, Hard: 0.9661) | LR: 0.000500
=> Epoch 137 | Train: 0.7613 (Easy: 0.4567, Hard: 1.0538) | Val: 0.6874 (Easy: 0.4302, Hard: 0.9707) | LR: 0.000500
=> Epoch 138 | Train: 0.7737 (Easy: 0.4627, Hard: 1.0705) | Val: 0.6915 (Easy: 0.4302, Hard: 0.9806) | LR: 0.000500
=> Epoch 139 | Train: 0.7763 (Easy: 0.4792, Hard: 1.0692) | Val: 0.6902 (Easy: 0.4355, Hard: 0.9678) | LR: 0.000500
